l1,l2,l3
82,Alto_Parana,AF
216,Alto_Parana,AF
217,Alto_Parana,AF
218,Alto_Parana,AF
340,Alto_Parana,AF
341,Alto_Parana,AF
342,Alto_Parana,AF
452,Alto_Parana,AF
456,Alto_Parana,AF
460,Alto_Parana,AF
464,Alto_Parana,AF
576,Alto_Parana,AF
580,Alto_Parana,AF
587,Alto_Parana,AF
588,Alto_Parana,AF
589,Alto_Parana,AF
591,Alto_Parana,AF
593,Alto_Parana,AF
594,Alto_Parana,AF
698,Alto_Parana,AF
700,Alto_Parana,AF
704,Alto_Parana,AF
706,Alto_Parana,AF
710,Alto_Parana,AF
711,Alto_Parana,AF
712,Alto_Parana,AF
713,Alto_Parana,AF
715,Alto_Parana,AF
719,Alto_Parana,AF
823,Alto_Parana,AF
824,Alto_Parana,AF
830,Alto_Parana,AF
838,Alto_Parana,AF
839,Alto_Parana,AF
842,Alto_Parana,AF
843,Alto_Parana,AF
844,Alto_Parana,AF
948,Alto_Parana,AF
950,Alto_Parana,AF
953,Alto_Parana,AF
954,Alto_Parana,AF
958,Alto_Parana,AF
959,Alto_Parana,AF
960,Alto_Parana,AF
961,Alto_Parana,AF
962,Alto_Parana,AF
966,Alto_Parana,AF
967,Alto_Parana,AF
968,Alto_Parana,AF
969,Alto_Parana,AF
970,Alto_Parana,AF
1068,Alto_Parana,AF
1074,Alto_Parana,AF
1077,Alto_Parana,AF
1078,Alto_Parana,AF
1082,Alto_Parana,AF
1086,Alto_Parana,AF
1089,Alto_Parana,AF
1093,Alto_Parana,AF
1094,Alto_Parana,AF
1098,Alto_Parana,AF
1099,Alto_Parana,AF
1192,Alto_Parana,AF
1194,Alto_Parana,AF
1200,Alto_Parana,AF
1201,Alto_Parana,AF
1205,Alto_Parana,AF
1208,Alto_Parana,AF
1209,Alto_Parana,AF
1213,Alto_Parana,AF
1214,Alto_Parana,AF
1216,Alto_Parana,AF
1222,Alto_Parana,AF
1223,Alto_Parana,AF
1319,Alto_Parana,AF
1320,Alto_Parana,AF
1326,Alto_Parana,AF
1327,Alto_Parana,AF
1328,Alto_Parana,AF
1329,Alto_Parana,AF
1330,Alto_Parana,AF
1331,Alto_Parana,AF
1332,Alto_Parana,AF
1333,Alto_Parana,AF
1335,Alto_Parana,AF
1339,Alto_Parana,AF
1342,Alto_Parana,AF
1347,Alto_Parana,AF
1440,Alto_Parana,AF
1443,Alto_Parana,AF
1448,Alto_Parana,AF
1449,Alto_Parana,AF
1451,Alto_Parana,AF
1452,Alto_Parana,AF
1453,Alto_Parana,AF
1454,Alto_Parana,AF
1455,Alto_Parana,AF
1456,Alto_Parana,AF
1457,Alto_Parana,AF
1461,Alto_Parana,AF
1462,Alto_Parana,AF
1463,Alto_Parana,AF
1465,Alto_Parana,AF
1567,Alto_Parana,AF
1569,Alto_Parana,AF
1570,Alto_Parana,AF
1572,Alto_Parana,AF
1573,Alto_Parana,AF
1574,Alto_Parana,AF
1575,Alto_Parana,AF
1576,Alto_Parana,AF
1577,Alto_Parana,AF
1578,Alto_Parana,AF
1579,Alto_Parana,AF
1580,Alto_Parana,AF
1581,Alto_Parana,AF
1583,Araucaria,AF
1584,Araucaria,AF
1585,Alto_Parana,AF
1586,Alto_Parana,AF
1588,Alto_Parana,AF
1590,Alto_Parana,AF
1592,Alto_Parana,AF
1595,Alto_Parana,AF
1691,Alto_Parana,AF
1695,Alto_Parana,AF
1697,Alto_Parana,AF
1698,Alto_Parana,AF
1699,Alto_Parana,AF
1701,Alto_Parana,AF
1702,Alto_Parana,AF
1703,Alto_Parana,AF
1704,Alto_Parana,AF
1705,Araucaria,AF
1706,Araucaria,AF
1707,Araucaria,AF
1708,Alto_Parana,AF
1709,Alto_Parana,AF
1710,Alto_Parana,AF
1715,Alto_Parana,AF
1719,Alto_Parana,AF
1720,Alto_Parana,AF
1815,Alto_Parana,AF
1816,Alto_Parana,AF
1817,Alto_Parana,AF
1818,Alto_Parana,AF
1819,Alto_Parana,AF
1824,Araucaria,AF
1825,Araucaria,AF
1826,Araucaria,AF
1827,Alto_Parana,AF
1828,Alto_Parana,AF
1829,Araucaria,AF
1830,Araucaria,AF
1831,Alto_Parana,AF
1832,Alto_Parana,AF
1833,Alto_Parana,AF
1834,Alto_Parana,AF
1835,Alto_Parana,AF
1836,Alto_Parana,AF
1837,Alto_Parana,AF
1839,Alto_Parana,AF
1842,Alto_Parana,AF
1843,Alto_Parana,AF
1844,Alto_Parana,AF
1845,Alto_Parana,AF
1846,Alto_Parana,AF
1937,Alto_Parana,AF
1939,Alto_Parana,AF
1940,Alto_Parana,AF
1941,Alto_Parana,AF
1942,Alto_Parana,AF
1944,Alto_Parana,AF
1949,Araucaria,AF
1950,Alto_Parana,AF
1951,Alto_Parana,AF
1952,Alto_Parana,AF
1953,Araucaria,AF
1954,Araucaria,AF
1955,Araucaria,AF
1956,Alto_Parana,AF
1957,Alto_Parana,AF
1959,Araucaria,AF
1967,Alto_Parana,AF
1968,Alto_Parana,AF
1970,Alto_Parana,AF
1984,Restingas,AF
2062,Alto_Parana,AF
2063,Alto_Parana,AF
2064,Alto_Parana,AF
2068,Alto_Parana,AF
2069,Alto_Parana,AF
2071,Alto_Parana,AF
2072,Araucaria,AF
2075,Alto_Parana,AF
2076,Alto_Parana,AF
2077,Araucaria,AF
2078,Araucaria,AF
2079,Araucaria,AF
