l1,l2,l3
82,Alto_Parana,AF
216,Alto_Parana,AF
217,Alto_Parana,AF
341,Alto_Parana,AF
576,Alto_Parana,AF
580,Alto_Parana,AF
588,Alto_Parana,AF
589,Alto_Parana,AF
698,Alto_Parana,AF
700,Alto_Parana,AF
710,Alto_Parana,AF
711,Alto_Parana,AF
823,Alto_Parana,AF
824,Alto_Parana,AF
838,Alto_Parana,AF
842,Alto_Parana,AF
962,Alto_Parana,AF
1078,Alto_Parana,AF
1099,Alto_Parana,AF
1320,Alto_Parana,AF
1326,Alto_Parana,AF
1328,Alto_Parana,AF
1331,Alto_Parana,AF
1335,Alto_Parana,AF
1443,Alto_Parana,AF
1449,Alto_Parana,AF
1454,Alto_Parana,AF
1455,Alto_Parana,AF
1456,Alto_Parana,AF
1573,Alto_Parana,AF
1581,Alto_Parana,AF
1584,Araucaria,AF
1585,Alto_Parana,AF
1594,Alto_Parana,AF
1595,Alto_Parana,AF
1695,Alto_Parana,AF
1698,Alto_Parana,AF
1702,Alto_Parana,AF
1703,Alto_Parana,AF
1704,Alto_Parana,AF
1710,Alto_Parana,AF
1720,Alto_Parana,AF
1816,Alto_Parana,AF
1817,Alto_Parana,AF
1818,Alto_Parana,AF
1819,Alto_Parana,AF
1825,Araucaria,AF
1826,Araucaria,AF
1827,Alto_Parana,AF
1829,Araucaria,AF
1830,Araucaria,AF
1833,Alto_Parana,AF
1834,Alto_Parana,AF
1835,Alto_Parana,AF
1843,Alto_Parana,AF
1844,Alto_Parana,AF
1937,Alto_Parana,AF
1938,Alto_Parana,AF
1940,Alto_Parana,AF
1950,Alto_Parana,AF
1957,Alto_Parana,AF
1959,Araucaria,AF
2063,Alto_Parana,AF
2071,Alto_Parana,AF
2075,Alto_Parana,AF
2076,Alto_Parana,AF
2077,Araucaria,AF
2083,Alto_Parana,AF
2088,Araucaria,AF
2089,Alto_Parana,AF
2108,Restingas,AF
2193,Alto_Parana,AF
2199,Alto_Parana,AF
2211,Araucaria,AF
2217,Alto_Parana,AF
2312,Alto_Parana,AF
2316,Alto_Parana,AF
2317,Araucaria,AF
2327,Araucaria,AF
2328,Araucaria,AF
2331,Alto_Parana,AF
2341,Alto_Parana,AF
2437,Alto_Parana,AF
2440,Alto_Parana,AF
2441,Araucaria,AF
2442,Araucaria,AF
2443,Araucaria,AF
2447,Araucaria,AF
2450,Araucaria,AF
2451,Araucaria,AF
2453,Araucaria,AF
2458,Araucaria,AF
2461,Alto_Parana,AF
2464,Alto_Parana,AF
2559,Alto_Parana,AF
2566,Araucaria,AF
2568,Araucaria,AF
2571,Araucaria,AF
2572,Araucaria,AF
2573,Araucaria,AF
2579,Araucaria,AF
2582,Araucaria,AF
2585,Araucaria,AF
2586,Alto_Parana,AF
2598,Restingas,AF
2678,Alto_Parana,AF
2689,Alto_Parana,AF
2691,Araucaria,AF
2695,Araucaria,AF
2697,Araucaria,AF
2698,Araucaria,AF
2699,Araucaria,AF
2702,Araucaria,AF
2703,Araucaria,AF
2704,Araucaria,AF
2709,Araucaria,AF
2711,Alto_Parana,AF
2801,Alto_Parana,AF
2807,Alto_Parana,AF
2816,Araucaria,AF
2817,Araucaria,AF
2820,Araucaria,AF
2821,Araucaria,AF
2822,Araucaria,AF
2823,Araucaria,AF
2826,Araucaria,AF
2827,Araucaria,AF
2832,Araucaria,AF
2834,Alto_Parana,AF
2835,Alto_Parana,AF
2837,Alto_Parana,AF
2923,Alto_Parana,AF
2937,Araucaria,AF
2940,Araucaria,AF
2941,Araucaria,AF
2943,Araucaria,AF
2944,Araucaria,AF
2946,Araucaria,AF
2947,Araucaria,AF
2949,Araucaria,AF
2952,Araucaria,AF
2953,Araucaria,AF
2957,Alto_Parana,AF
2958,Araucaria,AF
2959,Alto_Parana,AF
2960,Alto_Parana,AF
3039,Alto_Parana,AF
3044,Alto_Parana,AF
3045,Alto_Parana,AF
3058,Alto_Parana,AF
3059,Alto_Parana,AF
3060,Araucaria,AF
3061,Araucaria,AF
3066,Araucaria,AF
3067,Araucaria,AF
3070,Araucaria,AF
3074,Araucaria,AF
3075,Araucaria,AF
3077,Araucaria,AF
3080,Araucaria,AF
3081,Alto_Parana,AF
3082,Araucaria,AF
3083,Alto_Parana,AF
3084,Alto_Parana,AF
3163,Alto_Parana,AF
3186,Araucaria,AF
3190,Araucaria,AF
3192,Araucaria,AF
3193,Araucaria,AF
3195,Araucaria,AF
3196,Araucaria,AF
3202,Araucaria,AF
3203,Araucaria,AF
3204,Araucaria,AF
3205,Araucaria,AF
3206,Araucaria,AF
3207,Alto_Parana,AF
3208,Alto_Parana,AF
3209,Alto_Parana,AF
3214,Restingas,AF
3281,Alto_Parana,AF
3308,Araucaria,AF
3309,Araucaria,AF
3310,Araucaria,AF
3311,Araucaria,AF
3313,Araucaria,AF
3315,Araucaria,AF
3322,Araucaria,AF
3330,Araucaria,AF
3331,Alto_Parana,AF
3332,Alto_Parana,AF
3333,Alto_Parana,AF
3402,Alto_Parana,AF
3418,Alto_Parana,AF
3424,Alto_Parana,AF
3428,Alto_Parana,AF
3433,Araucaria,AF
3434,Araucaria,AF
3435,Araucaria,AF
3440,Araucaria,AF
3441,Araucaria,AF
3442,Araucaria,AF
3444,Araucaria,AF
3446,Araucaria,AF
3447,Araucaria,AF
3449,Araucaria,AF
3451,Araucaria,AF
3452,Araucaria,AF
3453,Araucaria,AF
