id,local,value
82,Alto_Parana,unique
83,Alto_Parana,unique
84,Alto_Parana,unique
206,Alto_Parana,unique
207,Alto_Parana,unique
208,Alto_Parana,unique
210,Alto_Parana,unique
211,Alto_Parana,unique
216,Alto_Parana,unique
217,Alto_Parana,unique
218,Alto_Parana,unique
329,Alto_Parana,unique
330,Alto_Parana,unique
331,Alto_Parana,unique
332,Alto_Parana,unique
333,Alto_Parana,unique
334,Alto_Parana,unique
335,Alto_Parana,unique
336,Alto_Parana,unique
340,Alto_Parana,unique
341,Alto_Parana,unique
342,Alto_Parana,unique
452,Alto_Parana,unique
453,Alto_Parana,unique
454,Alto_Parana,unique
455,Alto_Parana,unique
456,Alto_Parana,unique
457,Alto_Parana,unique
458,Alto_Parana,unique
459,Alto_Parana,unique
460,Alto_Parana,unique
461,Alto_Parana,unique
462,Alto_Parana,unique
463,Alto_Parana,unique
464,Alto_Parana,unique
465,Alto_Parana,unique
466,Alto_Parana,unique
574,Alto_Parana,unique
575,Alto_Parana,unique
576,Alto_Parana,unique
577,Alto_Parana,unique
578,Alto_Parana,unique
579,Alto_Parana,unique
580,Alto_Parana,unique
581,Alto_Parana,unique
582,Alto_Parana,unique
583,Alto_Parana,unique
584,Alto_Parana,unique
585,Alto_Parana,unique
586,Alto_Parana,unique
587,Alto_Parana,unique
588,Alto_Parana,unique
589,Alto_Parana,unique
590,Alto_Parana,unique
591,Alto_Parana,unique
592,Alto_Parana,unique
593,Alto_Parana,unique
594,Alto_Parana,unique
698,Alto_Parana,unique
699,Alto_Parana,unique
700,Alto_Parana,unique
701,Alto_Parana,unique
702,Alto_Parana,unique
703,Alto_Parana,unique
704,Alto_Parana,unique
705,Alto_Parana,unique
706,Alto_Parana,unique
707,Alto_Parana,unique
708,Alto_Parana,unique
709,Alto_Parana,unique
710,Alto_Parana,unique
711,Alto_Parana,unique
712,Alto_Parana,unique
713,Alto_Parana,unique
714,Alto_Parana,unique
715,Alto_Parana,unique
716,Alto_Parana,unique
717,Alto_Parana,unique
718,Alto_Parana,unique
719,Alto_Parana,unique
823,Alto_Parana,unique
824,Alto_Parana,unique
825,Alto_Parana,unique
826,Alto_Parana,unique
827,Alto_Parana,unique
828,Alto_Parana,unique
829,Alto_Parana,unique
830,Alto_Parana,unique
831,Alto_Parana,unique
832,Alto_Parana,unique
833,Alto_Parana,unique
834,Alto_Parana,unique
835,Alto_Parana,unique
836,Alto_Parana,unique
837,Alto_Parana,unique
838,Alto_Parana,unique
839,Alto_Parana,unique
840,Alto_Parana,unique
841,Alto_Parana,unique
842,Alto_Parana,unique
843,Alto_Parana,unique
844,Alto_Parana,unique
947,Alto_Parana,unique
948,Alto_Parana,unique
949,Alto_Parana,unique
950,Alto_Parana,unique
951,Alto_Parana,unique
952,Alto_Parana,unique
953,Alto_Parana,unique
954,Alto_Parana,unique
955,Alto_Parana,unique
956,Alto_Parana,unique
957,Alto_Parana,unique
958,Alto_Parana,unique
959,Alto_Parana,unique
960,Alto_Parana,unique
961,Alto_Parana,unique
962,Alto_Parana,unique
963,Alto_Parana,unique
964,Alto_Parana,unique
965,Alto_Parana,unique
966,Alto_Parana,unique
967,Alto_Parana,unique
968,Alto_Parana,unique
969,Alto_Parana,unique
970,Alto_Parana,unique
1068,Alto_Parana,unique
1069,Alto_Parana,unique
1070,Alto_Parana,unique
1071,Alto_Parana,unique
1072,Alto_Parana,unique
1073,Alto_Parana,unique
1074,Alto_Parana,unique
1075,Alto_Parana,unique
1076,Alto_Parana,unique
1077,Alto_Parana,unique
1078,Alto_Parana,unique
1079,Alto_Parana,unique
1080,Alto_Parana,unique
1081,Alto_Parana,unique
1082,Alto_Parana,unique
1083,Alto_Parana,unique
1084,Alto_Parana,unique
1085,Alto_Parana,unique
1086,Alto_Parana,unique
1087,Alto_Parana,unique
1088,Alto_Parana,unique
1089,Alto_Parana,unique
1090,Alto_Parana,unique
1091,Alto_Parana,unique
1092,Alto_Parana,unique
1093,Alto_Parana,unique
1094,Alto_Parana,unique
1098,Alto_Parana,unique
1099,Alto_Parana,unique
1190,Alto_Parana,unique
1191,Alto_Parana,unique
1192,Alto_Parana,unique
1193,Alto_Parana,unique
1194,Alto_Parana,unique
1195,Alto_Parana,unique
1196,Alto_Parana,unique
1197,Alto_Parana,unique
1198,Alto_Parana,unique
1199,Alto_Parana,unique
1200,Alto_Parana,unique
1201,Alto_Parana,unique
1202,Alto_Parana,unique
1203,Alto_Parana,unique
1204,Alto_Parana,unique
1205,Alto_Parana,unique
1206,Alto_Parana,unique
1207,Alto_Parana,unique
1208,Alto_Parana,unique
1209,Alto_Parana,unique
1210,Alto_Parana,unique
1211,Alto_Parana,unique
1212,Alto_Parana,unique
1213,Alto_Parana,unique
1214,Alto_Parana,unique
1215,Alto_Parana,unique
1216,Alto_Parana,unique
1217,Alto_Parana,unique
1218,Alto_Parana,unique
1222,Alto_Parana,unique
1223,Alto_Parana,unique
1314,Alto_Parana,unique
1315,Alto_Parana,unique
1316,Alto_Parana,unique
1317,Alto_Parana,unique
1318,Alto_Parana,unique
1319,Alto_Parana,unique
1320,Alto_Parana,unique
1321,Alto_Parana,unique
1322,Alto_Parana,unique
1323,Alto_Parana,unique
1324,Alto_Parana,unique
1325,Alto_Parana,unique
1326,Alto_Parana,unique
1327,Alto_Parana,unique
1328,Alto_Parana,unique
1329,Alto_Parana,unique
1330,Alto_Parana,unique
1331,Alto_Parana,unique
1332,Alto_Parana,unique
1333,Alto_Parana,unique
1334,Alto_Parana,unique
1335,Alto_Parana,unique
1336,Alto_Parana,unique
1337,Alto_Parana,unique
1338,Alto_Parana,unique
1339,Alto_Parana,unique
1340,Alto_Parana,unique
1341,Alto_Parana,unique
1342,Alto_Parana,unique
1343,Alto_Parana,unique
1346,Alto_Parana,unique
1347,Alto_Parana,unique
1439,Alto_Parana,unique
1440,Alto_Parana,unique
1441,Alto_Parana,unique
1442,Alto_Parana,unique
1443,Alto_Parana,unique
1444,Alto_Parana,unique
1445,Alto_Parana,unique
1446,Alto_Parana,unique
1447,Alto_Parana,unique
1448,Alto_Parana,unique
1449,Alto_Parana,unique
1450,Alto_Parana,unique
1451,Alto_Parana,unique
1452,Alto_Parana,unique
1453,Alto_Parana,unique
1454,Alto_Parana,unique
1455,Alto_Parana,unique
1456,Alto_Parana,unique
1457,Alto_Parana,unique
1458,Alto_Parana,unique
1459,Alto_Parana,dup
1459,Araucaria,dup
1460,Alto_Parana,dup
1460,Araucaria,dup
1461,Alto_Parana,dup
1461,Araucaria,dup
1462,Alto_Parana,unique
1463,Alto_Parana,unique
1464,Alto_Parana,unique
1465,Alto_Parana,unique
1466,Alto_Parana,unique
1467,Alto_Parana,unique
1470,Alto_Parana,unique
1471,Alto_Parana,unique
1564,Alto_Parana,unique
1565,Alto_Parana,unique
1566,Alto_Parana,unique
1567,Alto_Parana,unique
1568,Alto_Parana,unique
1569,Alto_Parana,unique
1570,Alto_Parana,unique
1571,Alto_Parana,unique
1572,Alto_Parana,unique
1573,Alto_Parana,unique
1574,Alto_Parana,unique
1575,Alto_Parana,unique
1576,Alto_Parana,unique
1577,Alto_Parana,unique
1578,Alto_Parana,unique
1579,Alto_Parana,unique
1580,Alto_Parana,unique
1581,Alto_Parana,unique
1582,Alto_Parana,dup
1582,Araucaria,dup
1583,Alto_Parana,dup
1583,Araucaria,dup
1584,Alto_Parana,dup
1584,Araucaria,dup
1585,Alto_Parana,dup
1585,Araucaria,dup
1586,Alto_Parana,unique
1587,Alto_Parana,unique
1588,Alto_Parana,unique
1589,Alto_Parana,unique
1590,Alto_Parana,unique
1591,Alto_Parana,unique
1592,Alto_Parana,unique
1594,Alto_Parana,unique
1595,Alto_Parana,unique
1597,Alto_Parana,unique
1688,Alto_Parana,unique
1689,Alto_Parana,unique
1690,Alto_Parana,unique
1691,Alto_Parana,unique
1692,Alto_Parana,unique
1693,Alto_Parana,unique
1694,Alto_Parana,unique
1695,Alto_Parana,unique
1696,Alto_Parana,unique
1697,Alto_Parana,unique
1698,Alto_Parana,unique
1699,Alto_Parana,unique
1700,Alto_Parana,dup
1700,Araucaria,dup
1701,Alto_Parana,dup
1701,Araucaria,dup
1702,Alto_Parana,dup
1702,Araucaria,dup
1703,Alto_Parana,unique
1704,Alto_Parana,dup
1704,Araucaria,dup
1705,Alto_Parana,dup
1705,Araucaria,dup
1706,Alto_Parana,dup
1706,Araucaria,dup
1707,Alto_Parana,dup
1707,Araucaria,dup
1708,Alto_Parana,dup
1708,Araucaria,dup
1709,Alto_Parana,unique
1710,Alto_Parana,dup
1710,Araucaria,dup
1711,Alto_Parana,dup
1711,Araucaria,dup
1712,Alto_Parana,dup
1712,Araucaria,dup
1713,Alto_Parana,unique
1714,Alto_Parana,unique
1715,Alto_Parana,unique
1716,Alto_Parana,unique
1719,Alto_Parana,unique
1720,Alto_Parana,unique
1721,Alto_Parana,unique
1813,Alto_Parana,unique
1814,Alto_Parana,unique
1815,Alto_Parana,unique
1816,Alto_Parana,unique
1817,Alto_Parana,unique
1818,Alto_Parana,unique
1819,Alto_Parana,unique
1820,Alto_Parana,unique
1821,Alto_Parana,unique
1822,Alto_Parana,unique
1823,Alto_Parana,dup
1823,Araucaria,dup
1824,Alto_Parana,dup
1824,Araucaria,dup
1825,Alto_Parana,dup
1825,Araucaria,dup
1826,Alto_Parana,dup
1826,Araucaria,dup
1827,Alto_Parana,unique
1828,Alto_Parana,dup
1828,Araucaria,dup
1829,Alto_Parana,dup
1829,Araucaria,dup
1830,Araucaria,unique
1831,Alto_Parana,dup
1831,Araucaria,dup
1832,Alto_Parana,unique
1833,Alto_Parana,unique
1834,Alto_Parana,dup
1834,Araucaria,dup
1835,Alto_Parana,dup
1835,Araucaria,dup
1836,Alto_Parana,dup
1836,Araucaria,dup
1837,Alto_Parana,unique
1838,Alto_Parana,unique
1839,Alto_Parana,unique
1842,Alto_Parana,unique
1843,Alto_Parana,unique
1844,Alto_Parana,unique
1845,Alto_Parana,unique
1846,Alto_Parana,unique
1937,Alto_Parana,unique
1938,Alto_Parana,unique
1939,Alto_Parana,unique
1940,Alto_Parana,unique
1941,Alto_Parana,unique
1942,Alto_Parana,unique
1943,Alto_Parana,unique
1944,Alto_Parana,unique
1945,Alto_Parana,unique
1946,Alto_Parana,unique
1947,Alto_Parana,dup
1947,Araucaria,dup
1948,Araucaria,unique
1949,Araucaria,unique
1950,Alto_Parana,dup
1950,Araucaria,dup
1951,Alto_Parana,unique
1952,Alto_Parana,dup
1952,Araucaria,dup
1953,Alto_Parana,dup
1953,Araucaria,dup
1954,Araucaria,unique
1955,Alto_Parana,dup
1955,Araucaria,dup
1956,Alto_Parana,dup
1956,Araucaria,dup
1957,Alto_Parana,unique
1958,Alto_Parana,dup
1958,Araucaria,dup
1959,Alto_Parana,dup
1959,Araucaria,dup
1962,Alto_Parana,unique
1963,Alto_Parana,unique
1966,Alto_Parana,unique
1967,Alto_Parana,unique
1968,Alto_Parana,unique
1969,Alto_Parana,unique
1970,Alto_Parana,unique
1984,Restingas,unique
2062,Alto_Parana,unique
2063,Alto_Parana,unique
2064,Alto_Parana,unique
2065,Alto_Parana,unique
2066,Alto_Parana,unique
2067,Alto_Parana,unique
2068,Alto_Parana,unique
2069,Alto_Parana,unique
2070,Alto_Parana,unique
2071,Alto_Parana,dup
2071,Araucaria,dup
2072,Alto_Parana,dup
2072,Araucaria,dup
2073,Araucaria,unique
2074,Alto_Parana,dup
2074,Araucaria,dup
2075,Alto_Parana,unique
2076,Alto_Parana,dup
2076,Araucaria,dup
2077,Araucaria,unique
2078,Araucaria,unique
2079,Araucaria,unique
2080,Alto_Parana,dup
2080,Araucaria,dup
2081,Alto_Parana,unique
2082,Alto_Parana,dup
2082,Araucaria,dup
2083,Alto_Parana,dup
2083,Araucaria,dup
2084,Alto_Parana,dup
2084,Araucaria,dup
2085,Araucaria,unique
2086,Araucaria,unique
2087,Araucaria,unique
2088,Araucaria,unique
2089,Alto_Parana,dup
2089,Araucaria,dup
2090,Alto_Parana,unique
2091,Alto_Parana,unique
2092,Alto_Parana,unique
2093,Alto_Parana,unique
2094,Alto_Parana,unique
2107,Restingas,unique
2108,Restingas,unique
2185,Alto_Parana,unique
2186,Alto_Parana,unique
2187,Alto_Parana,unique
2188,Alto_Parana,unique
2189,Alto_Parana,unique
2190,Alto_Parana,unique
2191,Alto_Parana,unique
2192,Alto_Parana,unique
2193,Alto_Parana,dup
2193,Araucaria,dup
2194,Alto_Parana,dup
2194,Araucaria,dup
2195,Alto_Parana,dup
2195,Araucaria,dup
2196,Alto_Parana,dup
2196,Araucaria,dup
2197,Araucaria,unique
2198,Alto_Parana,dup
2198,Araucaria,dup
2199,Alto_Parana,dup
2199,Araucaria,dup
2200,Alto_Parana,dup
2200,Araucaria,dup
2201,Alto_Parana,dup
2201,Araucaria,dup
2202,Araucaria,unique
2203,Alto_Parana,dup
2203,Araucaria,dup
2204,Alto_Parana,dup
2204,Araucaria,dup
2205,Alto_Parana,unique
2206,Alto_Parana,dup
2206,Araucaria,dup
2207,Alto_Parana,dup
2207,Araucaria,dup
2208,Araucaria,unique
2209,Araucaria,unique
2210,Araucaria,unique
2211,Araucaria,unique
2212,Alto_Parana,dup
2212,Araucaria,dup
2213,Alto_Parana,dup
2213,Araucaria,dup
2214,Alto_Parana,unique
2215,Alto_Parana,unique
2216,Alto_Parana,unique
2217,Alto_Parana,unique
2218,Alto_Parana,unique
2230,Restingas,unique
2231,Restingas,unique
2309,Alto_Parana,unique
2310,Alto_Parana,unique
2311,Alto_Parana,unique
2312,Alto_Parana,unique
2313,Alto_Parana,unique
2314,Alto_Parana,unique
2315,Alto_Parana,unique
2316,Alto_Parana,unique
