scientificName,decimalLatitude,decimalLongitude,id,Coordenadas médias_MEAN_X,Coordenadas médias_MEAN_Y
Austrolycopodium erectum,-17.41667,-39.73333,8739,-39.69383059,-17.44793161
Austrolycopodium erectum,-20.40992,-41.83711,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.42058,-41.81097,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.4333,-41.8683,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.43656,-41.79894,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.45806,-41.80917,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.45806,-41.80917,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.47167,-41.82833,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.47167,-41.82861,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.47472,-41.82917,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-20.5231,-41.9044,7635,-41.94383059,-20.44793161
Austrolycopodium erectum,-22.20444,-44.76944,6278,-44.69383059,-22.19793161
Austrolycopodium erectum,-22.25,-44.56667,6278,-44.69383059,-22.19793161
Austrolycopodium erectum,-22.33803,-44.75,6278,-44.69383059,-22.19793161
Austrolycopodium erectum,-22.33803,-44.75,6278,-44.69383059,-22.19793161
Austrolycopodium erectum,-22.35978,-44.73706,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.37267,-44.67869,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.37583,-44.6975,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38,-44.66306,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38,-44.66306,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38,-44.6631,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38278,-44.66694,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38278,-44.66694,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38306,-44.68444,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38306,-44.68444,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38361,-44.67833,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38611,-44.67861,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38614,-44.67863,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.38614,-44.67863,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.39806,-44.68056,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.39806,-44.68056,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.39806,-44.68056,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.39806,-44.68056,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.39806,-44.68061,6279,-44.69383059,-22.44793161
Austrolycopodium erectum,-22.42806,-44.84278,6155,-44.94383059,-22.44793161
Austrolycopodium erectum,-22.42806,-44.84278,6155,-44.94383059,-22.44793161
Austrolycopodium erectum,-22.4689,-44.4467,6403,-44.44383059,-22.44793161
Austrolycopodium erectum,-22.4961,-44.5633,6279,-44.69383059,-22.44793161
